,datetime,neutral,positive,negative
0,2022-05-02,0.45593536,0.20289323,0.3411714
1,2022-05-03,0.52815175,0.31984448,0.15200375
2,2022-05-04,0.4893884,0.37082654,0.13978504
3,2022-05-05,0.5569798,0.28567708,0.1573431
4,2022-05-06,0.5783424,0.25426582,0.16739176
5,2022-05-07,0.4143674,0.35539424,0.23023835
6,2022-05-08,0.37785605,0.3355523,0.28659165
7,2022-05-09,0.45446157,0.25265652,0.29288188
8,2022-05-10,0.49464065,0.23154269,0.27381665
9,2022-05-11,0.4928583,0.26059744,0.24654424
10,2022-05-12,0.52950144,0.23153488,0.23896368
11,2022-05-13,0.5338848,0.20118076,0.26493442
12,2022-05-14,0.5201089,0.30685756,0.1730336
13,2022-05-15,0.6111263,0.19528179,0.19359192
14,2022-05-16,0.5234738,0.25858417,0.21794201
15,2022-05-17,0.51402956,0.23874608,0.24722436
16,2022-05-18,0.48940054,0.18878256,0.32181692
17,2022-05-19,0.47243863,0.23503217,0.2925292
18,2022-05-20,0.44337267,0.2558391,0.3007882
19,2022-05-21,0.357389,0.33692005,0.30569094
20,2022-05-22,0.5493608,0.1931496,0.25748956
21,2022-05-23,0.4826583,0.35605767,0.16128404
22,2022-05-24,0.54336816,0.28774157,0.1688903
23,2022-05-25,0.561987,0.24134517,0.19666785
24,2022-05-26,0.48676017,0.30732006,0.20591976
25,2022-05-27,0.5592677,0.25524634,0.18548596
26,2022-05-28,0.5989258,0.12622018,0.27485394
27,2022-05-29,0.7177885,0.02074942,0.2614621
28,2022-05-30,0.553761,0.28352687,0.16271213
29,2022-05-31,0.6211473,0.2884501,0.09040259
30,2022-06-01,0.5814282,0.2855612,0.13301061
31,2022-06-02,0.55733275,0.26320055,0.17946665
32,2022-06-03,0.5667497,0.20571125,0.22753909
33,2022-06-04,0.83828926,0.08446826,0.077242486
34,2022-06-05,0.62241817,0.21638463,0.16119723
35,2022-06-06,0.6305728,0.21050863,0.15891862
36,2022-06-07,0.46771857,0.27468207,0.25759938
37,2022-06-08,0.52602905,0.2440405,0.22993045
38,2022-06-09,0.57442576,0.25002167,0.17555259
39,2022-06-10,0.55047977,0.16933228,0.28018796
40,2022-06-11,0.29188585,0.3078853,0.40022883
41,2022-06-12,0.47496295,0.30103332,0.22400372
42,2022-06-13,0.54634416,0.28871456,0.16494124
43,2022-06-14,0.52903664,0.26883322,0.2021301
44,2022-06-15,0.5317366,0.26331937,0.20494401
45,2022-06-16,0.5849978,0.20771168,0.20729055
46,2022-06-17,0.5208255,0.23394357,0.24523093
47,2022-06-18,0.48922324,0.21195772,0.29881904
48,2022-06-19,0.55965775,0.18003087,0.2603114
49,2022-06-20,0.5450738,0.25777268,0.19715355
50,2022-06-21,0.5950582,0.2128616,0.19208023
51,2022-06-22,0.52579147,0.24856949,0.22563909
52,2022-06-23,0.5696226,0.20585687,0.22452055
53,2022-06-24,0.5806022,0.2210338,0.19836397
54,2022-06-25,0.60810494,0.26470637,0.12718871
55,2022-06-26,0.36121133,0.34663758,0.2921511
56,2022-06-27,0.50706375,0.30569795,0.1872383
57,2022-06-28,0.6078903,0.20205882,0.1900509
58,2022-06-29,0.45180938,0.30882952,0.23936109
59,2022-06-30,0.5931168,0.21081921,0.19606397
60,2022-07-01,0.39170167,0.25896633,0.349332
61,2022-07-02,0.5230538,0.10842193,0.36852425
62,2022-07-03,0.37149397,0.16683835,0.4616677
63,2022-07-04,0.3613237,0.37833658,0.2603397
64,2022-07-05,0.4292232,0.256285,0.31449178
65,2022-07-06,0.4968039,0.25330532,0.24989079
66,2022-07-07,0.5227526,0.27370188,0.20354557
67,2022-07-08,0.54054064,0.2648022,0.19465715
68,2022-07-09,0.42741117,0.37322098,0.19936785
69,2022-07-10,0.4943667,0.18759046,0.31804284
70,2022-07-11,0.53997636,0.18775278,0.27227083
71,2022-07-12,0.57534003,0.22027627,0.20438372
72,2022-07-13,0.49913588,0.30680266,0.19406143
73,2022-07-14,0.4226997,0.2613584,0.31594187
74,2022-07-15,0.44183934,0.33762512,0.22053555
75,2022-07-16,0.54684377,0.30132318,0.15183303
76,2022-07-17,0.50202674,0.23630749,0.26166576
77,2022-07-18,0.44007033,0.34396264,0.21596701
78,2022-07-19,0.49905404,0.26113498,0.239811
79,2022-07-20,0.4882197,0.35169908,0.1600812
80,2022-07-21,0.42552966,0.39133883,0.1831315
81,2022-07-22,0.3882684,0.30782136,0.30391023
82,2022-07-23,0.3040494,0.30444476,0.39150584
83,2022-07-24,0.37074727,0.33267128,0.29658142
84,2022-07-25,0.50095075,0.18926048,0.30978876
85,2022-07-26,0.38534984,0.27345642,0.3411937
86,2022-07-27,0.36010048,0.3730679,0.2668316
87,2022-07-28,0.38149008,0.37225628,0.24625362
88,2022-07-29,0.2954204,0.45000133,0.25457826
89,2022-07-30,0.5414941,0.18865284,0.26985306
90,2022-07-31,0.52005833,0.15522406,0.32471758
91,2022-08-01,0.4359914,0.34602267,0.21798593
92,2022-08-02,0.45864737,0.32621548,0.21513714
93,2022-08-03,0.438475,0.38999006,0.17153494
94,2022-08-04,0.5101946,0.2809076,0.20889783
95,2022-08-05,0.5869209,0.26213965,0.15093945
96,2022-08-06,0.5802013,0.19497159,0.22482713
97,2022-08-07,0.44315535,0.23253621,0.32430845
98,2022-08-08,0.47542945,0.33746037,0.1871102
99,2022-08-09,0.5410909,0.20835929,0.2505498
100,2022-08-10,0.5015543,0.29112577,0.20731993
101,2022-08-11,0.4921366,0.29151228,0.2163511
102,2022-08-12,0.47786576,0.31261733,0.20951688
103,2022-08-13,0.62685966,0.24926318,0.123877145
104,2022-08-14,0.6091213,0.12849648,0.26238218
105,2022-08-15,0.58319,0.2616165,0.15519345
