,datetime,neutral,positive,negative
0,2022-05-02,0.4248257,0.21977709,0.35539722
1,2022-05-03,0.50153655,0.310365,0.18809843
2,2022-05-04,0.47406954,0.37674075,0.14918971
3,2022-05-05,0.5192486,0.29731765,0.18343377
4,2022-05-06,0.4746212,0.3275904,0.19778836
5,2022-05-07,0.32096797,0.45599914,0.22303285
6,2022-05-08,0.3475087,0.34562674,0.30686456
7,2022-05-09,0.4250927,0.24446353,0.33044377
8,2022-05-10,0.4861094,0.2598741,0.2540165
9,2022-05-11,0.46456784,0.27739,0.2580422
10,2022-05-12,0.455861,0.28508958,0.25904942
11,2022-05-13,0.47178668,0.2611945,0.26701882
12,2022-05-14,0.5323367,0.30099905,0.16666424
13,2022-05-15,0.5538067,0.2870646,0.15912865
14,2022-05-16,0.46671075,0.30299306,0.23029615
15,2022-05-17,0.45925605,0.2855821,0.25516185
16,2022-05-18,0.43950027,0.21412548,0.34637424
17,2022-05-19,0.40104055,0.28502142,0.31393805
18,2022-05-20,0.41652015,0.28223523,0.30124462
19,2022-05-21,0.3086099,0.37885174,0.31253836
20,2022-05-22,0.599592,0.16298734,0.23742066
21,2022-05-23,0.45248005,0.3795116,0.16800831
22,2022-05-24,0.43947905,0.37365884,0.1868621
23,2022-05-25,0.5295344,0.30161968,0.16884592
24,2022-05-26,0.44521138,0.32402104,0.2307676
25,2022-05-27,0.5196633,0.25184464,0.2284921
26,2022-05-28,0.5511554,0.13604385,0.31280077
27,2022-05-29,0.5513394,0.17792149,0.2707391
28,2022-05-30,0.47759226,0.35617006,0.16623773
29,2022-05-31,0.6048993,0.28752014,0.10758052
30,2022-06-01,0.537068,0.33879477,0.12413722
31,2022-06-02,0.48453504,0.31334096,0.20212398
32,2022-06-03,0.5205151,0.20743036,0.27205452
33,2022-06-04,0.8246619,0.0773382,0.09799992
34,2022-06-05,0.7481476,0.14582172,0.10603061
35,2022-06-06,0.5424366,0.2859958,0.17156756
36,2022-06-07,0.4535029,0.2711795,0.27531764
37,2022-06-08,0.48066115,0.27612683,0.243212
38,2022-06-09,0.5209554,0.2703816,0.20866299
39,2022-06-10,0.4935069,0.18759906,0.31889403
40,2022-06-11,0.17708549,0.29304406,0.52987045
41,2022-06-12,0.48089135,0.300182,0.21892664
42,2022-06-13,0.5145069,0.31753445,0.16795872
43,2022-06-14,0.48751575,0.30278456,0.20969966
44,2022-06-15,0.49420705,0.3036495,0.2021435
45,2022-06-16,0.51631683,0.25454038,0.22914279
46,2022-06-17,0.4650595,0.2819811,0.25295946
47,2022-06-18,0.48942226,0.21198559,0.29859212
48,2022-06-19,0.5304343,0.21069957,0.25886613
49,2022-06-20,0.45283276,0.40184996,0.1453173
50,2022-06-21,0.5520652,0.28414276,0.16379206
51,2022-06-22,0.4840914,0.2856409,0.23026769
52,2022-06-23,0.48651636,0.29866248,0.21482116
53,2022-06-24,0.5338467,0.27209496,0.1940584
54,2022-06-25,0.54859805,0.23611183,0.21529011
55,2022-06-26,0.32894772,0.35455102,0.31650126
56,2022-06-27,0.43991247,0.39217538,0.16791214
57,2022-06-28,0.5519009,0.25104728,0.19705182
58,2022-06-29,0.44634467,0.31247175,0.24118361
59,2022-06-30,0.5485775,0.2640532,0.1873693
60,2022-07-01,0.33168942,0.30032042,0.36799017
61,2022-07-02,0.4745597,0.08465461,0.44078568
62,2022-07-03,0.3304473,0.104676165,0.56487656
63,2022-07-04,0.2604023,0.43932858,0.3002691
64,2022-07-05,0.3569695,0.30435154,0.338679
65,2022-07-06,0.4653276,0.2836935,0.2509789
66,2022-07-07,0.47712052,0.33753693,0.18534254
67,2022-07-08,0.5409434,0.2794776,0.17957903
68,2022-07-09,0.41014805,0.33719853,0.25265342
69,2022-07-10,0.4411357,0.24068335,0.31818095
70,2022-07-11,0.49072725,0.21439724,0.29487553
71,2022-07-12,0.5559448,0.22139852,0.22265668
72,2022-07-13,0.44836697,0.35476902,0.19686402
73,2022-07-14,0.38741028,0.28336534,0.32922438
74,2022-07-15,0.40313408,0.36509147,0.2317745
75,2022-07-16,0.52751935,0.3580453,0.11443537
76,2022-07-17,0.4019825,0.33555758,0.26245996
77,2022-07-18,0.41721222,0.35735953,0.22542827
78,2022-07-19,0.44271922,0.32845062,0.22883016
79,2022-07-20,0.4053138,0.4042021,0.19048408
80,2022-07-21,0.38917345,0.4104643,0.20036227
81,2022-07-22,0.34895962,0.33435872,0.31668165
82,2022-07-23,0.34349814,0.29626536,0.36023647
83,2022-07-24,0.36956975,0.36496583,0.26546445
84,2022-07-25,0.49269614,0.20333198,0.3039719
85,2022-07-26,0.3352724,0.3094849,0.35524273
86,2022-07-27,0.32346213,0.3961439,0.28039396
87,2022-07-28,0.32864964,0.43369305,0.23765732
88,2022-07-29,0.2532381,0.47283214,0.27392974
89,2022-07-30,0.55011106,0.13729897,0.31258994
90,2022-07-31,0.5147192,0.26808983,0.21719098
91,2022-08-01,0.38395488,0.38743165,0.22861345
92,2022-08-02,0.3971489,0.36582956,0.23702154
93,2022-08-03,0.41618863,0.4257838,0.15802754
94,2022-08-04,0.46381924,0.31442013,0.22176062
95,2022-08-05,0.5444853,0.3002382,0.15527657
96,2022-08-06,0.5732255,0.19945283,0.22732162
97,2022-08-07,0.4752062,0.2345921,0.2902017
98,2022-08-08,0.44951123,0.3645833,0.18590546
99,2022-08-09,0.5047171,0.24675535,0.2485275
100,2022-08-10,0.45354205,0.32143974,0.2250182
101,2022-08-11,0.4831062,0.31128103,0.20561275
102,2022-08-12,0.47267583,0.31837663,0.20894757
103,2022-08-13,0.63693106,0.24398553,0.119083375
104,2022-08-14,0.53381336,0.1338885,0.33229816
105,2022-08-15,0.5243012,0.3143807,0.16131811
106,2022-08-16,0.49122965,0.34991953,0.15885083
107,2022-08-17,0.46056336,0.22851376,0.31092286
108,2022-08-18,0.5018678,0.3125556,0.1855766
109,2022-08-19,0.5099408,0.27934667,0.21071257
110,2022-08-20,0.47251147,0.20253322,0.32495528
111,2022-08-21,0.3781479,0.48211515,0.13973695
112,2022-08-22,0.54077935,0.27067265,0.188548
113,2022-08-23,0.595152,0.23154858,0.1732994
114,2022-08-24,0.4662719,0.25250474,0.28122333
115,2022-08-25,0.46478885,0.39379925,0.14141189
116,2022-08-26,0.5105091,0.23787779,0.25161314
117,2022-08-27,0.33830774,0.38262787,0.2790644
118,2022-08-28,0.5502774,0.36312002,0.08660261
119,2022-08-29,0.49395293,0.26124325,0.24480382
120,2022-08-30,0.5781699,0.22494452,0.19688557
121,2022-08-31,0.59554476,0.21621561,0.18823968
122,2022-09-01,0.49513903,0.23518932,0.26967165
123,2022-09-02,0.5136035,0.27039105,0.21600541
124,2022-09-03,0.5580389,0.1921508,0.24981026
125,2022-09-04,0.54302704,0.3772928,0.07968011
126,2022-09-05,0.49079132,0.35648113,0.15272756
127,2022-09-06,0.5312392,0.22949319,0.23926763
128,2022-09-07,0.57620573,0.27909458,0.1446997
129,2022-09-08,0.47345898,0.3849778,0.14156322
130,2022-09-09,0.620581,0.2689445,0.11047447
131,2022-09-10,0.48714074,0.29276967,0.22008957
132,2022-09-11,0.6309298,0.25439224,0.11467792
133,2022-09-12,0.5038118,0.33027607,0.16591217
134,2022-09-13,0.46294624,0.31024912,0.22680466
135,2022-09-14,0.497183,0.33526695,0.16755007
136,2022-09-15,0.49871302,0.31898147,0.18230553
137,2022-09-16,0.40644994,0.2093666,0.38418347
138,2022-09-17,0.46403712,0.26222137,0.2737415
139,2022-09-18,0.65924555,0.15979804,0.18095641
140,2022-09-19,0.52935624,0.25901186,0.2116319
141,2022-09-20,0.44691595,0.24621435,0.3068697
142,2022-09-21,0.6133608,0.25256732,0.13407181
143,2022-09-22,0.5078354,0.30871925,0.18344536
144,2022-09-23,0.5421154,0.22974698,0.22813761
145,2022-09-24,0.21920857,0.48678192,0.29400954
146,2022-09-25,0.5484311,0.20236917,0.2491998
147,2022-09-26,0.55470306,0.262901,0.18239596
148,2022-09-27,0.50241053,0.27245885,0.22513059
149,2022-09-28,0.4087925,0.37633723,0.2148703
150,2022-09-29,0.49924263,0.19598538,0.30477202
151,2022-09-30,0.537174,0.213152,0.24967402
152,2022-10-01,0.42212114,0.33772412,0.24015476
153,2022-10-02,0.28983772,0.31210127,0.398061
154,2022-10-03,0.46341056,0.26239085,0.2741986
155,2022-10-04,0.530441,0.30069834,0.16886066
156,2022-10-05,0.5571814,0.26322106,0.17959757
157,2022-10-06,0.509497,0.2730509,0.2174521
158,2022-10-07,0.5190688,0.23565094,0.24528024
159,2022-10-08,0.4585559,0.17892581,0.36251828
160,2022-10-09,0.36659646,0.42525238,0.20815115
161,2022-10-10,0.48153472,0.29636368,0.22210157
162,2022-10-11,0.4642641,0.32582268,0.20991324
163,2022-10-12,0.5009139,0.38298306,0.11610303
164,2022-10-13,0.5035831,0.28111377,0.2153032
165,2022-10-14,0.4008619,0.32201198,0.27712613
166,2022-10-15,0.34326202,0.22170188,0.43503612
167,2022-10-16,0.47467598,0.28937986,0.23594415
168,2022-10-17,0.45278928,0.4002802,0.14693053
169,2022-10-18,0.41766575,0.40274608,0.17958818
170,2022-10-19,0.35616943,0.47197416,0.17185639
171,2022-10-20,0.41399565,0.3652349,0.2207695
172,2022-10-21,0.3919165,0.39516374,0.2129197
173,2022-10-22,0.22048587,0.48986226,0.28965187
174,2022-10-23,0.48352417,0.29912826,0.21734759
175,2022-10-24,0.40452352,0.33228388,0.2631926
176,2022-10-25,0.35312858,0.3912305,0.25564095
177,2022-10-26,0.32682437,0.33212826,0.3410474
178,2022-10-27,0.3958384,0.3625015,0.24166013
179,2022-10-28,0.34626997,0.3430675,0.3106625
180,2022-10-29,0.3086923,0.39406466,0.29724303
181,2022-10-30,0.37287605,0.281215,0.34590897
182,2022-10-31,0.49895653,0.28435934,0.2166841
183,2022-11-01,0.4242247,0.4174269,0.15834838
184,2022-11-02,0.38894138,0.34594786,0.26511073
185,2022-11-03,0.44876432,0.33876216,0.21247348
186,2022-11-04,0.3989901,0.34482002,0.25618988
187,2022-11-05,0.4982988,0.16338585,0.33831537
188,2022-11-06,0.50235873,0.3094992,0.18814208
189,2022-11-07,0.49254707,0.23872785,0.26872507
190,2022-11-08,0.40315172,0.33810407,0.2587442
191,2022-11-09,0.3939953,0.32059103,0.28541365
192,2022-11-10,0.48934507,0.3343004,0.17635451
193,2022-11-11,0.42722687,0.33722374,0.23554939
194,2022-11-12,0.40412906,0.35756332,0.2383076
195,2022-11-13,0.51095396,0.3452415,0.14380461
196,2022-11-14,0.509097,0.2553512,0.23555185
197,2022-11-15,0.47025415,0.3840137,0.14573212
198,2022-11-16,0.4071353,0.30190468,0.29096
199,2022-11-17,0.5202384,0.26396337,0.21579826
200,2022-11-18,0.44982156,0.29601556,0.25416285
201,2022-11-19,0.38210556,0.34393817,0.27395627
202,2022-11-20,0.50939256,0.28022292,0.2103845
203,2022-11-21,0.44889048,0.28208095,0.26902857
204,2022-11-22,0.5229248,0.27302977,0.20404546
205,2022-11-23,0.4908504,0.23824656,0.27090305
206,2022-11-24,0.40630808,0.2721609,0.32153103
207,2022-11-25,0.36064842,0.3043097,0.33504185
208,2022-11-26,0.5665012,0.23920871,0.19429009
209,2022-11-27,0.56159776,0.30849397,0.12990822
210,2022-11-28,0.4662302,0.23327911,0.3004907
211,2022-11-29,0.48670268,0.27374336,0.23955397
212,2022-11-30,0.49585104,0.30114645,0.20300248
213,2022-12-01,0.48774794,0.29361233,0.21863973
214,2022-12-02,0.57194823,0.27240047,0.1556513
215,2022-12-03,0.2745736,0.38045603,0.34497038
216,2022-12-04,0.5417364,0.2055254,0.25273818
217,2022-12-05,0.49871087,0.310875,0.19041416
218,2022-12-06,0.4784456,0.24788979,0.2736646
219,2022-12-07,0.47585168,0.25985286,0.26429546
220,2022-12-08,0.43388003,0.30982792,0.25629207
221,2022-12-09,0.45116735,0.298183,0.25064966
222,2022-12-10,0.39082104,0.36812094,0.24105805
223,2022-12-11,0.5288834,0.20429015,0.26682642
224,2022-12-12,0.5463496,0.3496842,0.103966236
225,2022-12-13,0.4272467,0.4413402,0.13141312
226,2022-12-14,0.5281411,0.25183347,0.22002546
227,2022-12-15,0.48058027,0.29439408,0.22502564
228,2022-12-16,0.48615274,0.28927803,0.22456925
229,2022-12-17,0.41359448,0.39053547,0.19587001
230,2022-12-18,0.5088621,0.23791029,0.25322768
231,2022-12-19,0.52061266,0.26654902,0.21283829
232,2022-12-20,0.57803965,0.21367164,0.20828876
233,2022-12-21,0.3767962,0.41290373,0.21030007
234,2022-12-22,0.4842582,0.226031,0.28971076
235,2022-12-23,0.5033145,0.20065442,0.2960311
236,2022-12-24,0.3395617,0.40904775,0.25139052
237,2022-12-25,0.6125671,0.18026446,0.20716843
238,2022-12-26,0.4545891,0.26618007,0.27923083
239,2022-12-27,0.46674037,0.28562185,0.24763778
240,2022-12-28,0.5114068,0.19363226,0.29496095
241,2022-12-29,0.35255167,0.4194582,0.22799014
242,2022-12-30,0.5421213,0.26445904,0.19341964
243,2022-12-31,0.58919156,0.25269789,0.15811056
244,2023-01-01,0.5036997,0.36559397,0.13070627
245,2023-01-02,0.13872035,0.61528414,0.2459955
246,2023-01-03,0.4305716,0.28977263,0.2796558
247,2023-01-04,0.45178854,0.27764094,0.2705705
248,2023-01-05,0.44301307,0.3395119,0.21747501
249,2023-01-06,0.46659067,0.25376025,0.27964908
250,2023-01-07,0.29972032,0.46723244,0.23304726
251,2023-01-08,0.45646152,0.3735151,0.1700234
252,2023-01-09,0.5471966,0.28093216,0.17187124
253,2023-01-10,0.46993697,0.294476,0.23558702
254,2023-01-11,0.51585525,0.25429615,0.22984856
255,2023-01-12,0.50592834,0.27950764,0.21456409
256,2023-01-13,0.36724406,0.36004335,0.2727126
257,2023-01-14,0.44899502,0.4324658,0.11853918
258,2023-01-15,0.59936583,0.20441943,0.19621477
259,2023-01-16,0.5696353,0.24916445,0.18120028
260,2023-01-17,0.4123446,0.27119458,0.31646085
261,2023-01-18,0.51016694,0.26896563,0.22086747
262,2023-01-19,0.53020334,0.23560597,0.23419066
263,2023-01-20,0.47152364,0.28126454,0.24721184
264,2023-01-21,0.3014664,0.42693734,0.2715963
265,2023-01-22,0.39855617,0.4199073,0.18153653
266,2023-01-23,0.45932427,0.33967423,0.20100148
267,2023-01-24,0.423373,0.26289436,0.3137326
268,2023-01-25,0.38114008,0.2955342,0.32332572
269,2023-01-26,0.41987336,0.3639364,0.21619026
270,2023-01-27,0.41144896,0.33401388,0.2545371
271,2023-01-28,0.42509922,0.25090286,0.32399788
272,2023-01-29,0.6278115,0.22811821,0.1440703
273,2023-01-30,0.5060877,0.2684943,0.22541796
274,2023-01-31,0.37411788,0.41947782,0.2064043
275,2023-02-01,0.47253415,0.32112366,0.20634222
276,2023-02-02,0.35011756,0.37243912,0.27744332
277,2023-02-03,0.37831286,0.33117026,0.29051685
278,2023-02-04,0.3491524,0.35578364,0.29506397
279,2023-02-05,0.4243407,0.24637057,0.32928878
280,2023-02-06,0.5345744,0.29571965,0.16970596
281,2023-02-07,0.4874471,0.31460485,0.19794804
282,2023-02-08,0.4511591,0.32895353,0.21988735
283,2023-02-09,0.47129074,0.34686702,0.18184225
284,2023-02-10,0.46442908,0.26951516,0.26605576
285,2023-02-11,0.62508035,0.22837842,0.14654127
286,2023-02-12,0.32511422,0.43586162,0.23902415
287,2023-02-13,0.53691167,0.30317858,0.15990977
288,2023-02-14,0.5244055,0.36205208,0.113542445
289,2023-02-15,0.50436693,0.29841563,0.1972174
290,2023-02-16,0.51418626,0.22554879,0.26026496
291,2023-02-17,0.5396208,0.24294682,0.21743232
292,2023-02-18,0.424195,0.26636046,0.30944455
293,2023-02-19,0.49565,0.26587754,0.23847248
294,2023-02-20,0.4386693,0.3828392,0.17849149
295,2023-02-21,0.487755,0.26942322,0.24282177
296,2023-02-22,0.53570604,0.26518598,0.19910796
297,2023-02-23,0.48683134,0.28897196,0.22419673
298,2023-02-24,0.5638638,0.1723814,0.2637548
